"Pval"	"Spec"
"Eubacterium_cylindroides"	0.781147286821705	-0.0666
"Eubacterium_dolichum"	0.596	-0.0798
"Holdemania_filiformis"	0.46295	-0.0721
"Holdemania_unclassified"	0.827741007194245	-0.006
"Turicibacter_unclassified"	0.925987577639752	0.1054
"Acidaminococcus_intestini"	0.656350877192982	-0.119
"Acidaminococcus_unclassified"	0.712833333333333	-0.0568
"Phascolarctobacterium_succinatutens"	0.600448979591837	-0.1019
"Dialister_invisus"	0.0188	-0.1869
"Megasphaera_micronuciformis"	0.596	-0.3412
"Megasphaera_unclassified"	0.297432835820896	-0.282
"Veillonella_atypica"	0.600448979591837	-0.1898
"Veillonella_dispar"	0.768412698412698	-0.0394
"Veillonella_parvula"	0.316057971014493	-0.2304
"Veillonella_unclassified"	0.876054421768708	3e-04
"Fusobacterium_nucleatum"	0.622868686868687	-0.148
"Burkholderiales_bacterium_1_1_47"	0.201925925925926	-0.1606
"Parasutterella_excrementihominis"	0.208142857142857	-0.1737
"Sutterella_wadsworthensis"	0.948497175141243	0.0432
"Bilophila_unclassified"	0.991272727272727	0.114
"Bilophila_wadsworthia"	0.0568372093023256	-0.1988
"Desulfovibrio_piger"	0.0447619047619048	-0.4829
"Citrobacter_unclassified"	0.297432835820896	-0.3126
"Enterobacter_cloacae"	0.4136	-0.2691
"Escherichia_coli"	0.685084745762712	-0.0538
"Escherichia_unclassified"	0.782369230769231	-0.0315
"Klebsiella_oxytoca"	0.645297297297297	-0.0341
"Klebsiella_pneumoniae"	0.993	0.3806
"Klebsiella_unclassified"	0.129019607843137	-0.4018
"Haemophilus_parainfluenzae"	0.71655737704918	0.003
"Akkermansia_muciniphila"	0.917392405063291	0.0211
"Methanobrevibacter_unclassified"	0.0376	-0.5516
"Bacteroides_clarus"	0.244698412698413	-0.323
"Lactobacillus_delbrueckii"	0.80110447761194	0.074
"Lactobacillus_sakei"	0.983147540983607	0.1089
